id,cluster
10_020.png,1
10_015.png,7
18_022.png,6
05_042.png,0
09_013.png,4
03_021.png,7
11_001.png,2
16_025.png,2
01_018.png,5
03_019.png,1
01_031.png,4
03_004.png,1
02_024.png,6
09_015.png,4
03_030.png,1
04_010.png,6
19_001.png,0
05_035.png,1
03_028.png,1
15_011.png,3
05_004.png,0
01_011.png,1
01_029.png,5
17_035.png,7
01_012.png,1
17_001.png,7
17_013.png,6
07_029.png,2
04_014.png,6
02_036.png,7
16_031.png,2
12_001.png,4
01_006.png,1
16_017.png,2
08_014.png,2
16_022.png,2
17_039.png,1
09_003.png,1
06_030.png,3
03_016.png,4
07_010.png,2
15_003.png,3
01_034.png,4
04_008.png,6
00_015.png,1
15_015.png,3
06_014.png,3
05_014.png,0
02_031.png,7
00_043.png,3
07_004.png,2
05_022.png,1
12_017.png,0
00_005.png,3
15_005.png,3
05_026.png,4
15_009.png,2
07_020.png,2
07_006.png,2
07_022.png,2
08_040.png,1
19_008.png,0
12_018.png,0
18_024.png,2
08_034.png,1
14_009.png,4
18_020.png,6
16_029.png,2
02_009.png,7
08_021.png,1
07_025.png,2
18_002.png,6
07_032.png,7
00_003.png,3
02_020.png,2
14_008.png,4
06_015.png,3
17_037.png,7
01_027.png,4
03_044.png,1
01_045.png,4
10_010.png,1
13_006.png,0
04_027.png,6
05_030.png,1
07_011.png,2
02_034.png,7
05_021.png,0
05_048.png,0
17_005.png,6
17_032.png,6
15_007.png,3
07_021.png,2
02_029.png,7
17_031.png,6
17_027.png,6
01_044.png,1
10_017.png,7
19_005.png,0
18_015.png,6
09_023.png,3
17_026.png,6
08_027.png,7
08_041.png,1
03_018.png,4
16_015.png,2
07_012.png,2
01_039.png,1
10_004.png,7
03_045.png,1
06_022.png,3
15_014.png,3
00_010.png,0
00_022.png,1
01_003.png,1
02_008.png,2
05_037.png,0
18_004.png,6
11_002.png,7
01_024.png,5
03_025.png,3
00_011.png,3
16_026.png,2
08_001.png,1
07_002.png,7
03_009.png,7
03_015.png,4
11_004.png,0
03_035.png,4
02_017.png,2
08_037.png,1
03_032.png,1
09_018.png,4
07_030.png,2
03_026.png,3
01_005.png,1
08_008.png,1
01_017.png,5
05_007.png,0
06_023.png,7
00_032.png,3
14_005.png,4
00_039.png,3
02_028.png,2
18_027.png,6
07_023.png,2
10_019.png,2
18_003.png,6
10_001.png,4
16_011.png,2
17_007.png,6
06_025.png,0
05_047.png,0
01_046.png,1
05_019.png,0
02_030.png,7
13_005.png,0
16_036.png,2
18_008.png,6
00_028.png,3
17_011.png,6
11_005.png,7
05_011.png,1
06_019.png,3
03_013.png,1
10_009.png,1
02_004.png,2
06_001.png,0
06_006.png,3
06_021.png,3
18_033.png,6
00_035.png,1
17_023.png,6
01_007.png,1
12_013.png,3
01_023.png,1
01_040.png,1
07_008.png,7
10_007.png,1
05_006.png,0
10_012.png,1
02_021.png,7
05_018.png,0
18_005.png,6
09_024.png,4
00_041.png,3
05_003.png,1
08_024.png,7
12_003.png,1
00_020.png,1
19_010.png,0
16_046.png,2
00_016.png,3
07_001.png,7
06_007.png,0
00_033.png,3
04_005.png,6
17_030.png,7
16_047.png,6
06_011.png,3
