id,cluster
10_020.png,8
10_015.png,2
18_022.png,9
05_042.png,12
09_013.png,8
03_021.png,17
11_001.png,2
16_025.png,7
01_018.png,13
03_019.png,3
01_031.png,8
03_004.png,3
02_024.png,14
09_015.png,8
03_030.png,16
04_010.png,5
19_001.png,10
05_035.png,8
03_028.png,3
15_011.png,16
05_004.png,12
01_011.png,3
01_029.png,13
17_035.png,2
01_012.png,3
17_001.png,2
17_013.png,9
07_029.png,2
04_014.png,5
02_036.png,14
16_031.png,7
12_001.png,8
01_006.png,3
16_017.png,7
08_014.png,2
16_022.png,7
17_039.png,3
09_003.png,8
06_030.png,16
03_016.png,8
07_010.png,2
15_003.png,16
01_034.png,8
04_008.png,5
00_015.png,3
15_015.png,16
06_014.png,17
05_014.png,0
02_031.png,6
00_043.png,16
07_004.png,2
05_022.png,4
12_017.png,15
00_005.png,16
15_005.png,16
05_026.png,8
15_009.png,16
07_020.png,2
07_006.png,2
07_022.png,2
08_040.png,3
19_008.png,12
12_018.png,12
18_024.png,2
08_034.png,11
14_009.png,1
18_020.png,9
16_029.png,6
02_009.png,14
08_021.png,11
07_025.png,2
18_002.png,9
07_032.png,2
00_003.png,3
02_020.png,2
14_008.png,8
06_015.png,17
17_037.png,3
01_027.png,13
03_044.png,3
01_045.png,8
10_010.png,3
13_006.png,12
04_027.png,5
05_030.png,8
07_011.png,2
02_034.png,14
05_021.png,12
05_048.png,12
17_005.png,14
17_032.png,7
15_007.png,16
07_021.png,2
02_029.png,6
17_031.png,9
17_027.png,14
01_044.png,3
10_017.png,1
19_005.png,12
18_015.png,9
09_023.png,18
17_026.png,14
08_027.png,14
08_041.png,11
03_018.png,8
16_015.png,2
07_012.png,2
01_039.png,3
10_004.png,1
03_045.png,8
06_022.png,16
15_014.png,16
00_010.png,0
00_022.png,3
01_003.png,3
02_008.png,2
05_037.png,12
18_004.png,9
11_002.png,2
01_024.png,13
03_025.png,6
00_011.png,3
16_026.png,7
08_001.png,3
07_002.png,2
03_009.png,17
03_015.png,4
11_004.png,12
03_035.png,8
02_017.png,2
08_037.png,11
03_032.png,3
09_018.png,8
07_030.png,2
03_026.png,18
01_005.png,3
08_008.png,11
01_017.png,13
05_007.png,0
06_023.png,17
00_032.png,16
14_005.png,8
00_039.png,16
02_028.png,14
18_027.png,9
07_023.png,2
10_019.png,2
18_003.png,9
10_001.png,8
16_011.png,7
17_007.png,9
06_025.png,0
05_047.png,0
01_046.png,3
05_019.png,0
02_030.png,14
13_005.png,12
16_036.png,12
18_008.png,9
00_028.png,16
17_011.png,9
11_005.png,12
05_011.png,3
06_019.png,16
03_013.png,3
10_009.png,3
02_004.png,7
06_001.png,0
06_006.png,18
06_021.png,18
18_033.png,9
00_035.png,3
17_023.png,14
01_007.png,3
12_013.png,6
01_023.png,3
01_040.png,3
07_008.png,2
10_007.png,3
05_006.png,12
10_012.png,3
02_021.png,6
05_018.png,12
18_005.png,9
09_024.png,8
00_041.png,16
05_003.png,8
08_024.png,12
12_003.png,3
00_020.png,3
19_010.png,12
16_046.png,7
00_016.png,16
07_001.png,2
06_007.png,0
00_033.png,16
04_005.png,5
17_030.png,2
16_047.png,7
06_011.png,18
